Sales_ID,Region,Product,Sales,Profit,Month
1,East,A,9627,2661,Jan
2,North,D,7157,1369,Apr
3,South,B,5703,1208,Feb
4,West,B,2023,210,Feb
5,North,B,7207,594,Jan
6,North,A,8465,1246,May
7,North,A,9205,1718,Mar
8,South,D,5045,1264,May
9,South,B,2632,296,Mar
10,West,A,1728,1749,Jan
11,East,A,9111,2950,May
12,West,B,3743,405,Jan
13,South,B,3282,2958,May
14,South,D,8893,2080,Jan
15,East,D,4415,2408,Jan
16,South,A,9668,2297,May
17,West,A,5463,1964,Apr
18,East,D,4694,631,Apr
19,North,D,3955,1637,Jan
20,North,A,5309,2634,May
21,North,C,7364,2473,May
22,South,A,8240,2331,May
23,West,A,9409,2581,Jun
24,East,A,8641,319,Jan
25,North,A,5996,431,Jun
26,East,A,4669,2915,Mar
27,South,A,6888,1639,Mar
28,East,D,9120,814,Mar
29,East,D,8262,2423,Mar
30,East,A,2709,1849,Jan
31,East,A,4015,596,May
32,West,C,6882,267,Feb
33,North,D,8709,2246,Jun
34,South,C,1426,1386,Jun
35,West,B,2694,194,Jun
36,East,D,2191,1442,Feb
37,South,B,8089,2814,Jun
38,North,C,3293,2388,Jun
39,East,A,2900,1859,Apr
40,South,B,8852,2788,Jun
41,South,C,9469,2458,May
42,East,D,3142,1289,Feb
43,North,C,9745,1098,Mar
44,West,D,9924,2126,Feb
45,East,D,2058,776,Feb
46,West,A,1655,2171,May
47,North,C,5374,465,Jan
48,West,B,2837,1092,Jan
49,South,C,3451,1526,Jun
50,West,A,7120,1424,Jun
51,West,D,5534,1923,Jan
52,North,D,7580,1584,Feb
53,South,B,5395,2799,Feb
54,North,B,3935,2006,May
55,East,D,4735,380,Jun
56,South,A,4858,2913,Apr
57,South,A,7464,190,Mar
58,West,A,5551,188,Feb
59,East,A,7618,1472,Jun
60,North,A,2973,1692,Jun
61,North,D,5051,1508,Jan
62,West,B,5378,376,Apr
63,East,D,5355,1485,Jan
64,North,A,9101,873,Feb
65,North,A,1277,1439,Jun
66,South,A,9814,978,Mar
67,East,A,4572,2752,May
68,North,C,3682,109,May
69,West,A,6613,1818,Jan
70,South,D,5956,2849,Jan
71,North,A,8174,184,Apr
72,North,B,1659,1290,Jan
73,West,C,6325,2615,Mar
74,South,C,1767,196,Jun
75,South,A,5717,2778,May
76,East,B,5672,1719,Jan
77,South,A,2596,1669,Apr
78,South,D,2960,2088,Jan
79,South,D,4114,2962,Jan
80,South,B,5221,2578,Apr
81,South,C,6854,341,Jan
82,West,B,4477,2809,May
83,East,B,3796,2429,Feb
84,West,A,9772,583,Jun
85,North,B,4141,1732,Apr
86,North,C,5071,1957,Mar
87,West,A,8593,204,Jan
88,West,D,8110,1753,Apr
89,North,A,8981,2512,Apr
90,West,A,1672,839,Jun
91,North,B,5319,1665,Mar
92,North,C,6575,2492,Feb
93,North,A,5576,1614,Mar
94,East,A,4779,2795,Apr
95,East,C,7425,2552,Feb
96,West,A,7771,583,May
97,West,A,4734,551,May
98,North,C,3059,1018,May
99,West,A,5894,2389,Mar
100,South,C,2761,2683,Feb
101,South,B,2359,1925,Feb
102,East,A,4317,2163,Jan
103,North,A,4320,241,Apr
104,South,B,8243,2230,Jan
105,South,C,5471,2128,Apr
106,North,D,4280,171,Feb
107,South,A,8105,213,Jun
108,North,D,4259,553,Mar
109,East,A,2298,2434,Jun
110,East,D,1797,805,Mar
111,North,A,7933,375,Apr
112,North,B,6274,1566,Feb
113,East,A,2815,2319,Jun
114,North,B,1926,1912,Apr
115,North,D,8460,2304,Jan
116,North,C,8687,2455,Mar
117,West,D,5889,2366,Apr
118,East,A,4683,1548,May
119,East,D,5465,1332,Apr
120,North,C,7835,1346,Apr
