employee_id,department,salary,experience,performance_score
1,IT,43824,4,9
2,Sales,32418,3,4
3,HR,42843,14,7
4,IT,108778,2,2
5,Sales,66223,2,8
6,Sales,91570,3,5
7,Sales,36521,2,3
8,Sales,118162,14,1
9,HR,86894,5,9
10,Sales,104659,14,3
11,HR,44254,3,8
12,Finance,81939,6,9
13,IT,119236,6,5
14,Sales,67073,13,5
15,Finance,53310,13,2
16,IT,61785,6,8
17,IT,94570,14,7
18,IT,110577,3,5
19,Finance,86356,12,2
20,HR,53306,6,6
21,Finance,66950,8,8
22,Sales,108696,8,2
23,Sales,108928,12,4
24,Finance,109904,7,6
25,IT,100838,2,8
26,HR,63920,7,4
27,HR,118870,8,7
28,HR,109128,3,7
29,HR,63538,13,8
30,IT,111411,12,2
31,HR,38286,4,7
32,IT,48728,2,1
33,Sales,43640,10,4
34,IT,98627,14,9
35,Sales,75663,6,5
36,HR,33912,10,2
37,Finance,80586,10,5
38,Sales,102130,3,6
39,Sales,51752,1,1
40,IT,89715,12,4
41,Finance,119068,10,2
42,Sales,37997,13,5
43,IT,83006,12,5
44,HR,70800,2,5
45,Sales,45620,10,1
46,HR,100381,11,1
47,Sales,84268,1,9
48,Sales,99069,7,5
49,Finance,98473,1,7
50,Sales,72512,11,4
51,IT,49608,5,4
52,HR,100557,9,3
53,HR,47340,5,2
54,HR,31913,4,3
55,Sales,82086,4,2
56,IT,43429,9,4
57,Sales,43907,9,5
58,Finance,65489,12,2
59,IT,40088,14,2
60,Sales,45588,12,1
61,Sales,68395,8,8
62,Finance,90155,1,9
63,Sales,68214,4,5
64,Finance,30469,9,4
65,Sales,73295,8,6
66,IT,104253,8,7
67,Finance,64488,14,4
68,IT,68040,11,3
69,IT,46975,2,9
70,IT,45912,9,2
71,HR,58086,5,5
72,HR,112127,8,1
73,Finance,45115,1,9
74,IT,109983,12,4
75,IT,82573,13,6
76,HR,94223,5,6
77,Sales,41052,10,2
78,IT,45741,1,8
79,HR,87368,11,9
80,Finance,73986,7,7
81,Finance,35103,13,5
82,Sales,65050,5,8
83,IT,31740,3,4
84,HR,85270,5,6
85,HR,42579,7,4
86,Sales,101382,4,7
87,HR,77805,11,5
88,HR,50165,4,8
89,Sales,32775,8,4
90,Finance,114523,9,1
91,Sales,60752,14,6
92,Sales,119099,14,4
93,Finance,109464,6,8
94,Finance,101892,1,6
95,Sales,63930,9,6
96,IT,76774,6,9
97,Finance,58651,12,1
98,Sales,92885,5,9
99,HR,45997,8,4
100,IT,95180,13,7
101,HR,104498,14,4
102,Finance,93003,11,3
103,IT,115971,11,8
104,Sales,64009,5,1
105,IT,73671,2,4
106,Finance,99939,12,1
107,IT,47582,4,4
108,Sales,59844,4,7
109,Sales,114917,10,2
110,IT,68429,3,3
111,Sales,111475,6,5
112,IT,106323,3,2
113,IT,112727,4,4
114,IT,90809,6,3
115,IT,32121,11,5
116,Finance,75353,12,8
117,Sales,119987,8,5
118,IT,33886,13,5
119,Sales,71690,13,2
120,Finance,117986,3,3
121,Sales,110748,14,8
122,Sales,105523,8,3
123,HR,112119,2,4
124,HR,35181,7,8
125,HR,73349,11,7
126,IT,106578,6,7
127,HR,72914,1,3
128,HR,100744,12,4
129,HR,101713,1,7
130,Sales,93720,11,1
131,IT,100399,13,9
132,Sales,77394,4,1
133,HR,103925,11,8
134,Finance,30894,2,7
135,IT,93413,11,6
136,HR,78208,10,7
137,Finance,60142,13,6
138,IT,62904,14,3
139,Finance,56813,10,8
140,IT,69041,7,2
141,HR,89601,7,3
142,Sales,109224,8,3
143,Finance,98955,9,6
144,Finance,112088,14,7
145,HR,36004,9,5
146,IT,65620,8,3
147,Sales,72521,1,3
148,HR,116339,9,2
149,HR,87191,7,1
150,Sales,87852,9,1
